bed,row,col,pop.id,mf,dame_mf,sire_mf,rep,Unique.ID
E,12,C,NA,,,,,NA
E,12,D,WL1 x WL2,2-3_2-2,2-3,2-2,2,2007
E,13,C,NA,,,,,NA
E,13,D,(TM2 x WL2) x (DPR x WL2),,,,2,1490
E,14,C,(WL2 x BH) x (WL2 x CC),1_2,1,2,2,2193
E,14,D,WL2,2,2,,15,2394
E,15,C,YO11,5,5,,17,2498
E,15,D,NA,,,,,NA
E,16,C,(WL2 x TM2) x (TM2),2_1-3,2,1-3,34,2272
E,16,D,NA,,,,,NA
E,17,C,DPR,20,20,,16,1657
E,17,D,(TM2) x (TM2 x WL2),5-2_14,5-2,14,6,2174
E,18,C,(CC x WL2) x (WL2 x TM2),2_1,2,1,1,2057
E,18,D,(SQ3 x WL2) x (WL2),5_13-B,5,13-B,31,2122
E,19,C,WL2 x WV,,,,1,2040
E,19,D,buffer,,,,,buffer
E,20,C,(WL2 x BH) x (CC x WL2),2_2,2,2,3,2190
E,20,D,WV,11,11,,15,2626
E,21,C,TM2,11,11,,77,1781
E,21,D,BH x WL2,1-3_8-1,1-3,8-1,7,2416
E,22,C,WL2 x WL1,10-1_2-1,10-1,2-1,2,2036
E,22,D,WL2 x LV1,8-1_14-1,8-1,14-1,1,2428
E,23,C,WL1,18,18,,12,2409
E,23,D,(WL2) x (WL2 x TM2),3-14_2,3-14,2,10,2325
E,24,C,(DPR x TM2) x (TM2 x WL2),3_2,3,2,2,2585
E,24,D,(SQ3 x WL2) x (WL2),12_16-A,12,16-A,18,2502
E,25,C,(DPR x TM2) x (TM2 x WL2),3_2,3,2,3,2080
E,25,D,(CC x WL2) x (WL2),4_13-B,4,13-B,7,2067
E,26,C,CC,1,1,,3,1623
E,26,D,(LV1 x WL2) x (YO11 x WL2),8_25,8,25,1,2091
E,27,C,DPR,20,20,,17,1658
E,27,D,(LV1 x WL2) x (WL2),,,,16,79
E,28,C,TM2,9,9,,67,2637
E,28,D,WL2,5,5,,47,1870
E,29,C,(WV x WL2) x (WL2 x BH),2_2,2,2,6,2348
E,29,D,buffer,,,,,buffer
E,30,C,NA,,,,,NA
E,30,D,buffer,,,,,buffer
E,41,C,DPR x WL2,,,,2,2477
E,41,D,(WL2 x TM2) x (TM2),2_1-3,2,1-3,21,2259
E,42,C,BH x WL2,1-3_8-1,1-3,8-1,9,2473
E,42,D,(WL2 x TM2) x (TM2),2_1-3,2,1-3,7,2245
E,43,C,WL2,10,10,,92,2648
E,43,D,(TM2 x WL2) x (TM2),3_1-3,3,1-3,6,2134
E,44,C,WL1 x WL2,2-2_10-1,2-2,10-1,4,2426
E,44,D,TM2,8,8,,59,1763
E,45,C,buffer,,,,,buffer
E,45,D,buffer,,,,,buffer
E,46,C,(WL2 x WV) x (CC x WL2),1_1,1,1,2,2297
E,46,D,WV,11,11,,19,2628
E,47,C,(DPR x TM2) x (TM2 x WL2),3_2,3,2,7,2594
E,47,D,WL1 x WL2,2-2_10-1,2-2,10-1,6,2011
E,48,C,(DPR x TM2) x (TM2 x WL2),3_2,3,2,4,2081
E,48,D,(WV x WL2) x (WL2 x BH),2_2,2,2,9,2568
E,49,C,(TM2 x WL2) x (YO11 x WL2),,,,8,380
E,49,D,(TM2 x WL2) x (TM2),3_2-13,3,2-13,11,2600
E,50,C,WL1,8,8,,7,1809
E,50,D,(WL2) x (TM2 x WL2),16_14,16,14,2,2308
E,51,C,TM2,2,2,,11,1715
E,51,D,(YO11 x WL2) x (WL2),4_13-B,4,13-B,6,2385
E,52,C,buffer,,,,,buffer
E,52,D,buffer,,,,,buffer
F,1,A,buffer,,,,,buffer
F,1,B,buffer,,,,,buffer
F,2,A,buffer,,,,,buffer
F,2,B,buffer,,,,,buffer
F,3,A,buffer,,,,,buffer
F,3,B,buffer,,,,,buffer
F,4,A,WL2,2,2,,19,1842
F,4,B,(WL2 x BH) x (WL2 x CC),1_2,1,2,16,2528
F,5,A,TM2,12,12,,79,1783
F,5,B,NA,,,,,NA
F,6,A,(WV x TM2) x (TM2 x WL2),2_1,2,1,2,2333
F,6,B,(WV) x (WV x WL2),3_22,3,22,3,2377
F,7,A,WL2,4,4,,36,1859
F,7,B,buffer,,,,,buffer
F,8,A,WL2 x YO11,2-A_11-2,2-A,11-2,2,2048
F,8,B,WL2 x DPR,,,,2,2015
F,9,A,(WL2 x TM2) x (CC x TM2),2-3_2-3,2-3,2-3,5,2449
F,9,B,WL2,7,7,,69,1892
